"ID","timestamp","UTM.Easting","UTM.Northing","UTM.zone"
"animal0","2005-07-17 05:34",385541.7,7236837,"36N"
"animal0","2005-07-17 06:35",384905.3,7236511,"36N"
"animal0","2005-07-17 07:34",384788.4,7236494,"36N"
"animal0","2005-07-17 08:34",384793.2,7236410,"36N"
"animal0","2005-07-17 09:34",384789,7236415,"36N"
"animal0","2005-07-17 10:34",384798.1,7236417,"36N"
"animal0","2005-07-17 11:34",384801.3,7236398,"36N"
"animal0","2005-07-17 12:34",384793.2,7236404,"36N"
"animal0","2005-07-17 13:34",384795.2,7236410,"36N"
"animal0","2005-07-17 14:34",384832.5,7236183,"36N"
"animal0","2005-07-17 15:34",384743.5,7236066,"36N"
"animal0","2005-07-17 16:34",384734.9,7235890,"36N"
"animal0","2005-07-17 17:34",384766.5,7235847,"36N"
"animal0","2005-07-17 18:34",384765.5,7235845,"36N"
"animal0","2005-07-17 19:34",384760.6,7235838,"36N"
"animal0","2005-07-17 20:34",384765,7235808,"36N"
"animal0","2005-07-17 21:34",384655.4,7235624,"36N"
"animal0","2005-07-17 22:34",384687.2,7235562,"36N"
"animal0","2005-07-17 23:34",384709.8,7235514,"36N"
"animal0","2005-07-18 00:34",384691.9,7235492,"36N"
"animal0","2005-07-18 01:34",384732.1,7235395,"36N"
"animal0","2005-07-18 02:34",384738.1,7235388,"36N"
"animal0","2005-07-18 03:34",384750.4,7235375,"36N"
"animal0","2005-07-18 04:34",384718.7,7235306,"36N"
"animal0","2005-07-18 05:34",384874.3,7234927,"36N"
"animal0","2005-07-18 06:34",384973.7,7234999,"36N"
"animal0","2005-07-18 07:34",384957.8,7235322,"36N"
"animal0","2005-07-18 08:34",384976.8,7235452,"36N"
"animal0","2005-07-18 09:34",384978.6,7235489,"36N"
